solver,problem,nodecount,edges,anchors,totaliterations,population,deIteration,distFraction,testcase,time ms :_lbfgs,threads:_lbfgs,iterations:_lbfgs,final f: _lbfgs,fevaluations: _lbfgs,optimizer_lbfgs,time ms :_gd,threads:_gd,iterations:_gd,final f: _gd,fevaluations: _gd,optimizer_gd
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,1,0,0.5,2,564846.75,128,1449,31905710263122.3,50051,LBFGS,445785.34375,128,1995,31989930473151.7,50024,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,1,0,0.5,3,567217.5,128,1848,31889116471105.2,50059,LBFGS,445897.96875,128,1990,31994493904237.1,50017,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,1,0,0.5,4,562184,128,1181,31928881353292.7,50021,LBFGS,446325.03125,128,1997,31984741661144,50018,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,5,4,0.5,0,583551.5,128,385,31865556358909.3,10016,LBFGS,457660.5,128,393,31924451014069,10019,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,5,4,0.5,1,583902.875,128,381,31868073489374.8,10024,LBFGS,457798.75,128,393,31932948613291.8,10009,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,5,4,0.5,2,584062.625,128,384,31850871529551.5,10022,LBFGS,458108.34375,128,395,31937474986842.8,10022,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,5,0,0.5,3,574065.4375,128,1581,31858334542283.2,50003,LBFGS,457018.21875,128,2009,31923289045446,50017,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,5,1,0.5,4,583282.375,128,939,31861222880597.5,25031,LBFGS,459177.71875,128,996,31863449921657.8,25014,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,20,0,0.5,0,616407.25,128,1113,31845013660129,31997,LBFGS,477279.125,128,1991,31868468077893.5,50006,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,20,4,0.5,1,629560.0625,128,386,31841537445978.3,10008,LBFGS,492133.6875,128,397,31867958484342.8,10022,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,20,4,0.5,2,613294.625,128,380,31837191515620,10006,LBFGS,473878.65625,128,394,31907472872107.3,10000,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,20,4,0.5,3,613103,128,384,31831917884990.3,10004,LBFGS,473751.125,128,395,31907567949001.5,10017,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,20,4,0.5,4,613291.6875,128,383,31833987827456.9,10006,LBFGS,473996.0625,128,394,31871834553807.3,10007,GD
