,"('solver', '')","('problem', '')","('nodecount', '')","('edges', '')","('anchors', '')","('totaliterations', '')","('population', '')","('deIteration', '')","('distFraction', '')","('optimizer', '')","('final f: ', 'mean')","('final f: ', 'std')"
210,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,1.0,0.5,GD,2808347282952.163,8.711305772121614e-07
215,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,19.0,0.5,LBFGS,2808499347586.5107,8.100325957063874e-05
207,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,19.0,0.5,LBFGS,2808541354401.8594,4.157285995366456e-05
205,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,4.0,0.5,LBFGS,2808556529503.401,0.00020575523510241468
212,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,4.0,0.5,GD,2808746811029.68,0.00031367945097952166
209,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,0.0,0.5,LBFGS,2809963113215.0933,0.001821865081757536
479,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,45000.0,0.5,LBFGS,2810000265690.907,0.0018174470822057505
191,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,0.0,0.5,LBFGS,2810000364815.714,0.00181743478735066
193,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,1.0,0.5,LBFGS,2810091270236.9883,0.0006452368456242557
208,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,0.0,0.5,GD,2811641984645.9985,0.002229789418863971
201,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,0.0,0.5,LBFGS,2812279856511.2236,0.0016414936991448715
477,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,45000.0,0.5,LBFGS,2812437875705.458,0.0017007412983619792
183,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,0.0,0.5,LBFGS,2812437885795.1396,0.0017007354041355942
203,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,1.0,0.5,LBFGS,2813606829973.0957,0.0016432316674290313
204,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,4.0,0.5,GD,2814519525367.467,0.0028603287598155938
214,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,19.0,0.5,GD,2814622910497.0957,0.0010212612038805224
478,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,45000.0,0.5,GD,2817306959956.58,0.002651787260529245
190,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,0.0,0.5,GD,2817306966746.5186,0.002651786602486622
185,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,1.0,0.5,LBFGS,2818020327501.107,0.002895578264166805
202,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,1.0,0.5,GD,2819836259227.1875,0.0038933980348179673
200,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,0.0,0.5,GD,2823368207503.201,0.0031461641439985864
192,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,1.0,0.5,GD,2826407509839.967,0.002757625357163342
198,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,1.0,0.0,0.5,GD,2827218808053.0923,0.006278183116597758
206,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,19.0,0.5,GD,2827549249643.3467,0.003410779663053221
199,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,1.0,0.0,0.5,LBFGS,2828803537458.3926,0.0034299414740185372
181,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,1.0,0.0,0.5,LBFGS,2829960449340.875,0.0034874824908525887
476,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,45000.0,0.5,GD,2832409633266.118,0.004137658489872134
182,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,0.0,0.5,GD,2832409633371.706,0.004137658544461279
180,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,1.0,0.0,0.5,GD,2838780224523.0615,0.008315299332192171
184,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,1.0,0.5,GD,2847254988868.1953,0.004202719864786101
195,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,4.0,0.5,LBFGS,2871004781104.229,0.004958634890779073
194,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,4.0,0.5,GD,2897089165115.38,0.006358773179619498
187,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,4.0,0.5,LBFGS,2899427369357.7314,0.006031624567771412
173,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,1000.0,20.0,0.0,0.5,LBFGS,2900127739951.3574,0.009535568458459029
186,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,5.0,4.0,0.5,GD,2918373404236.9595,0.004697602165258725
